Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Naveen M A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12 Years Experience Overall  (7 years as specialist),"Kengeri, Bangalore",Bangalore,86%,(14 votes),₹ 700 fee
Dr. Santhosh Kumar S A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14 Years Experience Overall  (5 years as specialist),"Kengeri, Bangalore",Bangalore,86%,(14 votes),₹ 700 fee
Dr. Ravi Gopal Varma,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall  (24 years as specialist),"Hebbal, Bangalore",Bangalore,98%,(46 votes),₹ 1000 fee
Dr. Manmeet Singh Chhabra,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",25 Years Experience Overall  (16 years as specialist),"Jayanagar, Bangalore",Bangalore,100%,(73 votes),₹ 800 fee
Dr. Santhosh,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (11 years as specialist),"Hebbal, Bangalore",Bangalore,82%,(11 votes),₹ 1000 fee
Dr. Prathap Kumar Pani,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",41 Years Experience Overall  (32 years as specialist),"HSR Layout, Bangalore",Bangalore,65%,(20 votes),₹ 1000 fee
Dr. Sunil Buddappa,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall  (4 years as specialist),"Sahakaranagar, Bangalore",Bangalore,97%,(137 votes),₹ 1300 fee
Dr. Karthikeyan Y R,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17 Years Experience Overall  (5 years as specialist),"Seshadripuram, Bangalore",Bangalore,97%,(137 votes),₹ 740 fee
Dr. Yadhu K Lokanath,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (9 years as specialist),"JP Nagar, Bangalore",Bangalore,100%,(42 votes),₹ 650 fee
Dr. Krishna Chaitanya,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall,"Electronics City, Bangalore",Bangalore,98%,(151 votes),₹ 900 fee
Dr. Veeresha U Mathad,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18 Years Experience Overall  (9 years as specialist),"Sarjapur Road, Bangalore",Bangalore,98%,(151 votes),₹ 900 fee
Dr. Deepak A N,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (5 years as specialist),"Kundalahalli, Bangalore",Bangalore,98%,(151 votes),₹ 850 fee
Dr. Nandish H S,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (9 years as specialist),"Millers Road, Bangalore",Bangalore,98%,(151 votes),₹ 1000 fee
Dr. Mohamed Mujahid Usman,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",19 Years Experience Overall  (5 years as specialist),"Vasanthnagar, Bangalore",Bangalore,99%,(79 votes),₹ 850 fee
Dr. Sandesh O,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (2 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,99%,(79 votes),₹ 500 fee
Dr. Manish Ganesh Pai,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",22 Years Experience Overall  (12 years as specialist),"JP Nagar, Bangalore",Bangalore,99%,(79 votes),₹ 800 fee
Dr. Rajkumar Pannem,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",9 Years Experience Overall  (1 year as specialist),"HSR Layout, Bangalore",Bangalore,99%,(79 votes),₹ 750 fee
Dr. Abdul Aziz Riyaz,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (4 years as specialist),"BTM Layout 2nd Stage, Bangalore",Bangalore,89%,(53 votes),₹ 800 fee
Dr. Pratham R,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (4 years as specialist),"Kumaraswamy Layout, Bangalore",Bangalore,89%,(53 votes),₹ 900 fee
Dr. Jaidev s,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6 Years Experience Overall  (1 year as specialist),"Jayanagar, Bangalore",Bangalore,89%,(53 votes),₹ 900 fee
Dr. Sabyasachi Basu,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17 Years Experience Overall  (9 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,89%,(53 votes),₹ 700 fee
Dr. Arvind Bhateja,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",30 Years Experience Overall  (22 years as specialist),"Vasanthnagar, Bangalore",Bangalore,96%,(137 votes),₹ 850 fee
Dr. Prakash Rathod,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",5 Years Experience Overall  (4 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,79%,(14 votes),₹ 600 fee
Dr. Arun L Naik,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",23 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,92%,(361 votes),₹ 800 fee
Dr. Dibanath Chakraborthy,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",25 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,92%,(361 votes),₹ 750 fee
Dr. Keshav G.C,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11 Years Experience Overall  (6 years as specialist),"Kammana Halli, Bangalore",Bangalore,92%,(361 votes),₹ 1000 fee
Dr. Raghuramraj Sampangi,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (2 years as specialist),"Horamavu, Bangalore",Bangalore,92%,(361 votes),₹ 700 fee
Dr. Harsha Hegde,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6 Years Experience Overall  (3 years as specialist),"Banashankari 6th Stage, Bangalore",Bangalore,92%,(361 votes),₹ 800 fee
Dr. Ananth G.,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (11 years as specialist),"Ashoknagar, Bangalore",Bangalore,92%,(361 votes),₹ 800 fee
Dr. Chander Mohan Malhotra,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall,"Sarita Vihar, Delhi",Delhi,94%,(957 votes),₹ 1500 fee
Dr. Ramandeep S. Dang,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",28 Years Experience Overall  (15 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,92%,(309 votes),₹ 1500 fee
Dr. Shailesh Jain,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (14 years as specialist),"Pitampura, Delhi",Delhi,96%,(158 votes),₹ 1200 fee
Dr. Amitabh Gupta,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (15 years as specialist),"Vasant Kunj, Delhi",Delhi,87%,(31 votes),₹ 1400 fee
Dr. Sudheer Kumar Tyagi,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",34 Years Experience Overall  (25 years as specialist),"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2500 fee
Dr. Chander Mohan Malhotra,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall,"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 1500 fee
Dr. Sanjeev Dua,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",45 Years Experience Overall  (39 years as specialist),"Patparganj, Delhi",Delhi,91%,(11 votes),₹ 1000 fee
Dr. Ravi Bhatia,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",61 Years Experience Overall  (51 years as specialist),"Sarita Vihar, Delhi",Delhi,91%,(11 votes),₹ 2000 fee
Dr. Prakash Singh,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",46 Years Experience Overall  (33 years as specialist),"Saket, Delhi",Delhi,83%,(30 votes),₹ 1200 fee
Dr. Ramandeep S. Dang,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",28 Years Experience Overall  (15 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,92%,(309 votes),₹ 1500 fee
Dr. Shailesh Jain,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (14 years as specialist),"Pitampura, Delhi",Delhi,96%,(158 votes),₹ 1200 fee
Dr. Amitabh Gupta,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (15 years as specialist),"Vasant Kunj, Delhi",Delhi,87%,(31 votes),₹ 1400 fee
Dr. P K Sachdeva,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",28 Years Experience Overall  (23 years as specialist),"Dwarka Sector 12, Delhi",Delhi,87%,(31 votes),₹ 1300 fee
Dr. Manish Garg,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (4 years as specialist),"IP Extension, Delhi",Delhi,91%,(11 votes),₹ 1000 fee
Dr. Anil Kansal,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",29 Years Experience Overall  (21 years as specialist),"Shalimar Bagh, Delhi",Delhi,76%,(29 votes),₹ 1500 fee
Dr. Nishant Verma,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (8 years as specialist),"Kingsway Camp, Delhi",Delhi,76%,(29 votes),₹ 1000 fee
Dr. Bipin S Walia,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",39 Years Experience Overall  (26 years as specialist),"Saket, Delhi",Delhi,76%,(29 votes),₹ 1500 fee
Dr. Bipin S. Walia,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,"Saket, Delhi",Delhi,76%,(29 votes),₹ 2000 fee
Dr. Amitabh Goel,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",33 Years Experience Overall  (27 years as specialist),"Patparganj, Delhi",Delhi,98%,(53 votes),₹ 1000 fee
Dr. Manish Bummerkar,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",30 Years Experience Overall  (17 years as specialist),"Pandav Nagar, Delhi",Delhi,91%,(145 votes),₹ 800 fee
Dr. Anil Dhar,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17 Years Experience Overall  (13 years as specialist),"Patparganj, Delhi",Delhi,91%,(145 votes),₹ 700 fee
Dr. Abhidha Shah,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (14 years as specialist),"Colaba, Mumbai",Mumbai,92%,(12 votes),₹ 2500 fee
Dr. Aditya Patil,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14 Years Experience Overall  (6 years as specialist),"Wadala, Mumbai",Mumbai,92%,(12 votes),₹ 1500 fee
Dr. Ashwin Borkar,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18 Years Experience Overall  (7 years as specialist),"Mira Road, Mumbai",Mumbai,95%,(19 votes),₹ 1000 fee
Dr. Saurav Samantray,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18 Years Experience Overall  (13 years as specialist),"Santacruz West, Mumbai",Mumbai,95%,(19 votes),₹ 2000 fee
Dr. Raghvendra Ramdasi,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21 Years Experience Overall  (11 years as specialist),"Chembur East, Mumbai",Mumbai,95%,(19 votes),₹ 1500 fee
Dr. Abhidha Shah,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15 Years Experience Overall  (14 years as specialist),"Colaba, Mumbai",Mumbai,95%,(19 votes),₹ 2500 fee
Dr. Ajit Mishra,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13 Years Experience Overall  (4 years as specialist),"Malad West, Mumbai",Mumbai,95%,(19 votes),₹ 1200 fee
Dr. Sunil V Furtado,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",23 Years Experience Overall  (17 years as specialist),"Sahakaranagar, Bangalore",Bangalore,99%,(182 votes),₹ 700 fee
Dr. Sunil V Furtado,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",23 Years Experience Overall  (17 years as specialist),"Sahakaranagar, Bangalore",Bangalore,99%,(182 votes),₹ 700 fee
Dr. Sachin Ashokrao Giri,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, FCPS - General Surgery",13 Years Experience Overall  (8 years as specialist),"Powai, Mumbai",Mumbai,95%,(19 votes),₹ 1600 fee
Dr. Sridutt Bhadri,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, FRCS - Neurosurgery",7 Years Experience Overall  (4 years as specialist),"Electronics City, Bangalore",Bangalore,89%,(53 votes),₹ 900 fee
Dr. Kaushik,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",13 Years Experience Overall  (4 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(25 votes),₹ 800 fee
Dr. Gaurav Singh,Bariatric Surgeon,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",16 Years Experience Overall  (12 years as specialist),"Jayanagar 3 Block, Bangalore",Bangalore,96%,(46 votes),₹ 750 fee
Dr. Ravinder Pal Singh,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",23 Years Experience Overall  (17 years as specialist),"Pitampura, Delhi",Delhi,79%,(24 votes),₹ 1500 fee
Dr. Ashish Sachan,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",12 Years Experience Overall  (9 years as specialist),"Dilshad Garden, Delhi",Delhi,96%,(77 votes),₹ 800 fee
Dr. Vivek Tandon,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",25 Years Experience Overall  (23 years as specialist),"Sarita Vihar, Delhi",Delhi,96%,(77 votes),₹ 2000 fee
Dr. Ashish Sachan,Bariatric Surgeon,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",12 Years Experience Overall  (9 years as specialist),"Dilshad Garden, Delhi",Delhi,96%,(77 votes),₹ 800 fee
Dr. Pranav Honnavara Srinivasan,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, DNB - General Surgery, MNAMS - General Surgery",12 Years Experience Overall  (8 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,50%,(40 votes),₹ 850 fee
Dr. Gaurav Nitin Chaubal,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, Fellowship in Abdominal Transplant Surgery",19 Years Experience Overall  (11 years as specialist),"Parel, Mumbai",Mumbai,88%,(111 votes),₹ 1850 fee
Dr. Narasimhaiah  K,Urologist,"MBBS, MS - General Surgery, MCh - Urology",19 Years Experience Overall  (14 years as specialist),"Electronics City, Bangalore",Bangalore,47%,(17 votes),₹ 700 fee
Dr. Devaraj Urs H,Urologist,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (4 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,47%,(17 votes),₹ 600 fee
Dr. Anand Arumugam,Urologist,"MBBS, MS - General Surgery, MCh - Urology",19 Years Experience Overall  (14 years as specialist),"Whitefield, Bangalore",Bangalore,94%,(808 votes),₹ 850 fee
Dr. Udaybhaskar M,Urologist,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (10 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,77%,(47 votes),₹ 750 fee
Dr. I R Ravish,Urologist,"MBBS, MS - General Surgery, MCh - Urology",27 Years Experience Overall  (21 years as specialist),"JP Nagar, Bangalore",Bangalore,84%,(63 votes),₹ 1000 fee
Dr. Rajeev Bashetty,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (14 years as specialist),"HSR Layout, Bangalore",Bangalore,95%,(804 votes),₹ 1000 fee
Dr. Anuj Jain,Urologist,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (2 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,100%,(39 votes),₹ 1000 fee
Dr. Chethan J V,Urologist,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (6 years as specialist),"Whitefield, Bangalore",Bangalore,98%,(95 votes),₹ 850 fee
Dr. G.R.Manjunath,Urologist,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (3 years as specialist),"Nagasandra, Bangalore",Bangalore,91%,(44 votes),₹ 750 fee
Dr. Raju R,Urologist,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (2 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,68%,(41 votes),₹ 750 fee
Dr. Pramod Shivaram Bhat,Urologist,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (9 years as specialist),"HSR Layout, Bangalore",Bangalore,68%,(41 votes),₹ 700 fee
Dr. Harsha R,Urologist,"MBBS, MS - General Surgery, MCh - Urology",10 Years Experience Overall  (1 year as specialist),"Sarjapur Road, Bangalore",Bangalore,68%,(41 votes),₹ 800 fee
Dr. Shiva Kumar,Urologist,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (9 years as specialist),"Jayanagar 3 Block, Bangalore",Bangalore,68%,(41 votes),₹ 750 fee
Dr. Kunal K Mehra,Urologist,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (3 years as specialist),"Kundalahalli, Bangalore",Bangalore,68%,(41 votes),₹ 850 fee
Dr. Nagareddy,Urologist,"MBBS, MS - General Surgery, MCh - Urology",10 Years Experience Overall  (1 year as specialist),"HRBR Layout, Bangalore",Bangalore,68%,(41 votes),₹ 700 fee
Dr. Vishruth K Raj,Urologist,"MBBS, MS - General Surgery, MCh - Urology",13 Years Experience Overall  (5 years as specialist),"Banashankari 3rd Stage, Bangalore",Bangalore,68%,(41 votes),₹ 700 fee
Dr. Gokula Krishnan P J,Urologist,"MBBS, MS - General Surgery, MCh - Urology",19 Years Experience Overall  (11 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,82%,(39 votes),₹ 1000 fee
Dr. Giridhar Venkatesh,Urologist,"MBBS, MS - General Surgery, MCh - Urology",15 Years Experience Overall  (13 years as specialist),"Electronics City, Bangalore",Bangalore,100%,(33 votes),₹ 900 fee
Dr. Tarun Javali,Urologist,"MBBS, MS - General Surgery, MCh - Urology",12 Years Experience Overall  (11 years as specialist),"Malleswaram, Bangalore",Bangalore,96%,(45 votes),₹ 850 fee
Dr. Bivek Kumar,Urologist,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (5 years as specialist),"Bellandur, Bangalore",Bangalore,90%,(50 votes),₹ 450 fee
Dr. Shakir Tabrez,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (18 years as specialist),"HRBR Layout, Bangalore",Bangalore,96%,(27 votes),₹ 700 fee
Dr. Gautam Banga,Urologist,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (12 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,89%,(66 votes),₹ 1500 fee
Dr. H.S.Bhatyal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",51 Years Experience Overall  (37 years as specialist),"Pusa Road, Delhi",Delhi,89%,(66 votes),₹ 1500 fee
Dr. Parag Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",25 Years Experience Overall  (14 years as specialist),"Janakpuri, Delhi",Delhi,93%,(1077 votes),₹ 1000 fee
Dr. Anurag Puri,Urologist,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (7 years as specialist),"Vasant Kunj, Delhi",Delhi,95%,(40 votes),₹ 1000 fee
Dr. Yashdeep Rustagi,Urologist,"MBBS, MS - General Surgery, MCh - Urology",15 Years Experience Overall  (10 years as specialist),"Shalimar Bagh, Delhi",Delhi,95%,(22 votes),₹ 800 fee
Dr. Piyush Varshney,Urologist,"MBBS, MS - General Surgery, MCh - Urology",20 Years Experience Overall  (12 years as specialist),"Vasundhra Enclave, Delhi",Delhi,88%,(89 votes),₹ 700 fee
Dr. Rajesh Taneja,Urologist,"MBBS, MS - General Surgery, MCh - Urology",37 Years Experience Overall  (28 years as specialist),"Sarita Vihar, Delhi",Delhi,88%,(89 votes),₹ 1500 fee
Dr. Anjani Kumar Agrawal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",28 Years Experience Overall  (25 years as specialist),"Saket, Delhi",Delhi,97%,(76 votes),₹ 1800 fee
Dr. Amit Kumar Kundu,Urologist,"MBBS, MS - General Surgery, MCh - Urology",12 Years Experience Overall  (3 years as specialist),"Dwarka Sector 6, Delhi",Delhi,92%,(12 votes),₹ 1000 fee
Dr. B L Bhan,Urologist,"MBBS, MS - General Surgery, MCh - Urology",56 Years Experience Overall  (48 years as specialist),"Kilokri, Delhi",Delhi,79%,(38 votes),₹ 700 fee
Dr. Pawan Kesarwani,Urologist,"MBBS, MS - General Surgery, MCh - Urology",27 Years Experience Overall  (19 years as specialist),"Patparganj, Delhi",Delhi,85%,(110 votes),₹ 1200 fee
Dr. (Prof.) Nayan Kumar,Urologist,"MBBS, MS - General Surgery, MCh - Urology",49 Years Experience Overall  (38 years as specialist),"Safdarjung Enclave, Delhi",Delhi,96%,(28 votes),₹ 1000 fee
Dr. Paras Singhal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",15 Years Experience Overall  (11 years as specialist),"Mayur Vihar Ph-I, Delhi",Delhi,67%,(39 votes),₹ 800 fee
Dr. Ayush Khetrapal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",5 Years Experience Overall,"Shalimar Bagh, Delhi",Delhi,67%,(39 votes),₹ 1500 fee
Dr. Ashish Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 Years Experience Overall  (10 years as specialist),"Jogeshwari West, Mumbai",Mumbai,97%,(33 votes),₹ 1200 fee
Dr. Nasreen Gite,Urologist,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (9 years as specialist),"Chembur, Mumbai",Mumbai,97%,(33 votes),₹ 1000 fee
Dr. Shrikant Badwe,Urologist,"MBBS, MS - General Surgery, MCh - Urology",45 Years Experience Overall  (41 years as specialist),"Goregaon West, Mumbai",Mumbai,91%,(250 votes),₹ 1500 fee
Dr. Percy J Chibber,Urologist,"MBBS, MS - General Surgery, MCh - Urology",42 Years Experience Overall  (35 years as specialist),"Girgaon, Mumbai",Mumbai,77%,(22 votes),₹ 4000 fee
Dr. Rahul Nair,Urologist,"MBBS, MS - General Surgery, MCh - Urology",14 Years Experience Overall  (3 years as specialist),"Goregaon West, Mumbai",Mumbai,88%,(16 votes),₹ 1500 fee
Dr. Dhruti Mahajan,Urologist,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (4 years as specialist),"Mulund West, Mumbai",Mumbai,88%,(16 votes),₹ 1500 fee
Dr. Abhinandan Sadalge,Urologist,"MBBS, MS - General Surgery, MCh - Urology",25 Years Experience Overall  (16 years as specialist),"Santacruz West, Mumbai",Mumbai,91%,(22 votes),₹ 2000 fee
Dr. Saurabh Singh,Urologist,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (14 years as specialist),"Jogeshwari West, Mumbai",Mumbai,100%,(12 votes),₹ 600 fee
Dr. Nagasubramanyam S,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",39 Years Experience Overall  (35 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,96%,(217 votes),₹ 750 fee
Dr. Rohit Kaushal,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",15 Years Experience Overall  (6 years as specialist),"Saket, Delhi",Delhi,93%,(70 votes),₹ 800 fee
Dr. Ashish Saini,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",20 Years Experience Overall  (13 years as specialist),"Greater Kailash Part 1, Delhi",Delhi,93%,(183 votes),₹ 1200 fee
Dr. Ravindra Hodarkar,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",46 Years Experience Overall  (39 years as specialist),"Chembur, Mumbai",Mumbai,43%,(14 votes),₹ 1200 fee
Dr. Pankaj Gaur,Urologist,"MBBS, MS - General Surgery, MCh - Urology, Fellowship in Laparoscopic and Robotic Surgical Oncology",17 Years Experience Overall  (4 years as specialist),"Patparganj, Delhi",Delhi,92%,(12 votes),₹ 1000 fee
Dr. L N Raju,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",23 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,92%,(13 votes),₹ 750 fee
Dr. Mahesh Babu,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",14 Years Experience Overall  (9 years as specialist),"Banashankari, Bangalore",Bangalore,100%,(18 votes),₹ 800 fee
Dr. Vinay Patil,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",26 Years Experience Overall  (17 years as specialist),"Hebbal, Bangalore",Bangalore,96%,(45 votes),₹ 1000 fee
Dr. Nithyananda H A,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",13 Years Experience Overall  (4 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,98%,(101 votes),₹ 1000 fee
Dr. Mohan,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",16 Years Experience Overall,"Millers Road, Bangalore",Bangalore,92%,(24 votes),₹ 1000 fee
Dr. Dilip Dhanpal,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",46 Years Experience Overall  (42 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,64%,(28 votes),₹ 600 fee
Dr. Ravi Chandran K,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",12 Years Experience Overall  (3 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,98%,(95 votes),₹ 1000 fee
Dr. Ninan Thomas Panicker,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",39 Years Experience Overall  (30 years as specialist),"Indiranagar, Bangalore",Bangalore,81%,(53 votes),₹ 800 fee
Dr. Rajendra Prasad K N,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",11 Years Experience Overall  (2 years as specialist),"Kengeri, Bangalore",Bangalore,81%,(53 votes),₹ 650 fee
Dr. A Nagaraj Rao,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",25 Years Experience Overall  (23 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,95%,(56 votes),₹ 850 fee
Dr. Anand M,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",29 Years Experience Overall  (28 years as specialist),"Malleswaram, Bangalore",Bangalore,94%,(64 votes),₹ 800 fee
